абрагъу	aː b r aː ʁʷ
абэуйэй	a b a w j a j
агъунэр	aː ʁʷ ə n a r
адрабгъу	aː d ə r aː b ʁʷ
адыгэкъэб	aː d ə ɣ a q a b
адыгэхэ	aː d ə ɣ a x a
акул	aː kʷ ə l
амдэз	aː m d a z
амырмэ	aː m a r m a
амыщ	aː m ə ɕ
анджэрэф	aː n d͡ʒ a r a f
апэрэ	aː p a r a
апӏэ	aː pʼ a
архъуажъ	aː r χʷ aː ʐ
ахъ	aː χ
ахъчалъ	aː χ t͡ʃ aː ɬ
ахын	aː x ə n
ачъэжъ	aː χ t͡ʃ a ʐ
ашъыу	aː ʃʷʼ ə w
багьэ	b aː ɡʲ a
бае	b aː j a
батыргъэгъ	b aː t ə r ʁ a ʁ
баӏо	b aː ʔʷ a
бганэ	b ɣ aː n a
бгъодж	b ʁʷ a d͡ʒ
бгъодэкӏын	b ʁʷ a d a t͡ʃʼ ə n
бгъодэхьан	b ʁʷ a d a a ħ aː n
бгъотэн	b ʁʷ a t a n
бгъузэ	b ʁʷ ə z a
бгъундж	b ʁʷ ə n d͡ʒ
бгъурышӏ	b ʁʷ ə r ə ʃʼ
бгъушы	b ʁʷ ə ʃ ə
бгъэбзы	b ʁ a b z ə
бгъэджыб	b ʁ a d͡ʒ ə r
бгъэхэӏушъхь	b ʁ a x a ʔʷ ə ʂ ħ
бгъэӏас	b ʁ a ʔ aː s
бгыкъу	b ɣ ə qʷ
бгырыпхышъхь	b ɣ ə r ə p x ə ʂ ħ
бгэн	j a b ɣ ə n
бжъакъо	b ʐ aː qʷ a
бжъэкъожъый	b ʐ a qʷ a ʐ ə j
бжьыныуц	b ʑ ə n ə w t s
бжьыныфщыгъу	b ʑ ə n ə f ɕ ə ʁʷ
бжьыныфыкӏ	b ʑ ə n ə f ə kʲʼ
бжьэмат	b ʑ a m aː t
бжьэпащ	b ʑ a p aː ɕ
бзаджэ	b z aː d͡ʒ a
бзако	b z aː kʷ a
бзакӏо	b z aː kʷʼ a
бзалъ	b z aː ɬ
бзушхъу	b z ə w ʃ χʷ
бзэгохь	b z a ɡʷ a ħ
бзэгухь	b z a ɡʷ ə ħ
бзэгухьын	b z a ɡʷ ə ħ ə n
бзэджашӏэ	b z a d͡ʒ aː ʃʼ a
бзэджэрылъф	b z a d͡ʒ a r ə ɬ f
бзэмкъэшӏэныгъ	b z a m q a ʃʼ a n ə ʁ
бзэрэбзэн	b z a r a b z a n
бзэу	b z a w
блашъхьэ	b l aː ʂ ħ a
блыгу	b l ə ɡʷ
блын	b l ə n
блыныкӏ	b l ə n ə t͡ʃ
блыпкъ	b l ə p q
блэ	b l a
блэбыбыкӏын	b l a b ə b ə t͡ʃʼ ə n
блэгъэжъ	b l a ʁ a ʐ
блэплъын	b l a p ɬ ə n
блэрыпс	b l a r ə p s
блэун	b l a w ə n
блэшъутын	b l a ə ʂʷ t ə n
быдзашъу	b ə d͡z aː ʂʷ
быдзы	b ə d͡z ə
быдзылъ	b ə d͡z ə ɬ
былымтыгъу	b ə l ə m t ə ʁʷ
былымылы	b ə l ə m ə l ə
былымылӏэ	b ə l ə m ə ɬʼ a
бырацэ	b ə r aː t͡s a
быргусыргу	b ə r ɡʷ ə s ə r ɡʷ
бырыпх	p ə r ə p x
бытырбыф	b a t ə r b ə f
бэджэбы	b a d͡ʒ a b ə
бэджэндыку	b a d͡ʒ a n d a kʷ
бэджэшъ	b aː d͡ʒ a ʂ
бэдзэгъалӏэ	b a d͡z a ʁ aː ɬʼ a
бэдзэнэшъу	b a d͡z a n a ʂʷ
бэдзэр	b a d͡z a r
бэлыджакӏэ	b a l ə d͡ʒ aː kʼ a
бэлыджэпс	b a l ə d͡ʒ a p s
бэлэрыгъ	b a l a r ə ʁ
бэнанэ	b a n aː n a
бэткэлӏ	b a t k a ɬʼ
бэщ	b a ɕ
гогон	ɡʷ a ɡʷ a n
гопкӏэн	ɡʷ a p t͡ʃʼ a n
гоӏу	ɡʷ a ħ ə
гоӏэн	ɡʷ a ʔ a n
гуадз	ɡʷ aː d͡z
гуапэ	ɡʷ aː p a
гудэ	ɡʷ ə d a
гужъ	ɡʷ ə ʐ
гузэжъогъу	ɡʷ ə z a ʒʷ a ʁʷ
гукъэгъэкӏьын	ɡʷ ə q a ʁ a kʲʼ ə n
гумыӏу	ɡʷ ə m ə ʔʷ
гупшысэн	ɡʷ ə p ʃ ə s a n
гупэн	ə ɡʷ ə p a n
гухэкӏын	ɡʷ ə x a t͡ʃʼ ə n
гуцаф	ɡʷ ə t͡s aː f
гущыӏэрые	ɡʷ ə ɕ ə ʔ a r ə j a
гущыӏэухыгъэ	ɡʷ ə ɕ ə ʔ a w x ə ʁ a
гуӏэн	ɡʷ ə ʔ a n
гъогогъу	ʁʷ a ɡʷ a ʁʷ
гъогын	ʁʷ a ɣ ə n
гъозадж	ʁʷ a z aː d͡ʒ
гъонлагъэ	ʁʷ a n ɮ aː ʁ a
гъоплъышъо	ʁʷ a p ɬ ə ʂʷ a
гъопэкӏаку	ʁʷ aː p a t͡ʃʼ aː kʷ
гъопэкӏьэхь	ʁʷ aː p a kʲʼ a ħ
гъочӏэгъ	ʁʷ a t͡ʂʼ a ʁ
гъу	ʁʷ ə
гъунэгъу	ʁʷ ə n a ʁʷ
гъучӏы	ʁʷ ə t͡ʃʼ ə
гъучӏыбзыу	ʁʷ ə t͡ʂʼ ə b z ə w
гъучӏынэ	ʁʷ ə t͡ʂʼ ə n a
гъын	ʁ ə n
гъэгумэкӏын	ʁ a ɡʷ ə m a t͡ʃ ə n
гъэгъун	ʁ a ʁʷ ə n
гъэгъэн	m a ʁ a ʁ a n
гъэделэн	ʁ a d a j l a n
гъэджыджэн	ʁ a d͡ʒ ə d͡ʒ a n
гъэжъэн	ʁ a ʐ a n
гъэкӏын	ʁ a t͡ʃʼ ə n
гъэкӏэрэкӏэн	ʁ a t͡ʃ a r a t͡ʃ a n
гъэмартын	ʁ a m aː r t ə n
гъэпкӏын	ʁ a p t͡ʃʼ ə n
гъэпрэзэн	ʁ a p r a z a n
гъэпсыкӏын	ʁ a p s ə t͡ʃʼ ə n
гъэпцӏакӏо	ʁ a p t͡sʼ aː kʷʼ a
гъэрэкӏо	ʁ a r a kʷʼ a
гъэсагъ	ʁ a s aː ʁ
гъэсысын	ʁ a s ə s ə n
гъэсэкӏэн	ʁ a s a t͡ʃʼ a n
гъэсэфытхыдэ	ʁ a s a f ə t x ə d a
гъэткӏун	ʁ a t kʷʼ ə n
гъэтхапэмаз	ʁ a t x aː p a m aː z
гъэунэзэн	ʁ a w n a z a n
гъэунэн	ʁ a w ə n ə n
гъэупысӏэн	ʁ a w p sʼ a n
гъэхьазырын	ħ aː z ə r ə n
гъэчэн	ʁ a t͡ʃ a n
гъэчэрэзын	ʁ a t͡ʃ a r a z ə n
гъэшъхъэшъхъэн	ʁ a ʂ χ a ʂ χ a n
гъэшӏэгъоны	ʁ a ʃʼ a ʁʷ a n ə
гъэщтын	ʁ a ɕ t ə n
гъэщынэн	ʁ a ɕ ə n a n
гъэӏортӏэн	ʁ a ʔʷ a r tʼ a n
гыен	ɣ ə j a n
гын	ɣ ə n
гьары	ɡʲ aː r ə
гьи	ɡʲ ə j
гьэгун	ɡʲ a ɡʷ ə n
дадыу	d aː d ə w
дахэ	d aː x a
декъузэн	d a j qʷ ə z a n
делагъэ	d a j l aː ʁ a
делъэсыкӏын	d a j ɬ a s ə t͡ʃ ə n
деукъон	d a j qʷ a n
деусын	d a j s ə n
деушъэн	d a j ʂ a n
дехьыхын	d a j ħ ə x ə n
джадэ	d͡ʒ aː d a
джаргъэн	d͡ʒ aː r ʁ a n
джыкӏэ	d͡ʒ ə t͡ʃʼ a
джынджыф	d͡ʒ ə n d͡ʒ ə f
джынэс	d͡ʒ ə n a s
джэгъогъу	d͡ʒ a ʁʷ ə ɡʷ
джэлыгъон	d͡ʒ a ɬ ə ʁʷ a n
джэнчы	d͡ʒ a n t͡ʃ ə
джэнчыдз	d͡ʒ a n t͡ʃ ə d͡z
джэныкъу	d͡ʒ a n ə qʷ
джэхашъо	d͡ʒ a x aː ʃʷ a
джэщгъум	d͡ʒ a ɕ ʁʷ ə m
дзуцон	d͡zʷ ə t͡sʷ a n
дзэ	d͡z a
дзэпщ	d͡z a p ɕ ə
динынчъэ	d ə n ə n t͡ʂʼ a
дыин	d ə j ə n
дыйдалхь	d ə j d aː l ħ
дыкъын	d ə q ə n
дырын	d ə r ə n
дыу	d ə w
дышъэ	d ə ʂ a
дэгъолъхьан	t a ʁʷ a ɬ ħ aː n
дэгъэбыбэен	d a ʁ a b ə b a j a n
дэгъэзын	d a ʁ a z ə n
дэгъэтын	d a ʁ a t ə n
дэзэкӏон	d a z a kʷʼ a n
дэкон	d a kʷ a n
дэлъын	d a ɬ ə n
дэпкъы	d a p q ə
дэфэн	d a f a n
дэхьагъо	d a ħ aː ʁʷ a
дэхэт	d a x a t
дэщыен	d a ɕ ə j a n
дэялъ	d a j aː ɬ
ебгъэн	j a b ʁ a n
ебгын	j a b ɣ ə n
ебэнын	j a b a n ə n
егъэблэгъэн	j a ʁ a b l a ʁ a n
егъэзыгъ	j a ʁ a t ə ʁ
егъэпхыгъ	x a ʃʼ aː ʁ
егъэтын	j a ʁ a t ə n
едэхэшӏэн	j a d a x a ʃʼ a n
ежь	j a ʑ
ежьапӏэ	j a ʑ aː pʼ a
ежэн	j a ʒ a n
езбырэу	j a z b ə r a w
езэгъын	j a z a ʁ ə n
еин	j a j ə n
енэкъокъун	j a n a qʷ a qʷ a n
енэкӏэон	j a n a t͡ʃ a w a n
енэсӏын	j a n a sʼ ə n
енэу	j a n a w
еон	j a w a n
епэсын	j a p a s ə n
епэшӏэн	j a p a ʃʼ a n
епӏэстхъын	j a pʼ a s t χ ə n
есэпэон	j a s a p a w a n
етӏанэ	j a tʼ aː n a
етӏэхъун	j a tʼ a χʷ ə n
ехъырхъышэн	j a χ ə r χ ə ʃ a n
ечэнджэшын	j a t͡ʃ a n d͡ʒ a ʃ ə n
ешъугъон	j a ʃʷ ʁʷ ə n
жакъэ	ʒ aː q a
жалэ	ʒ aː l a
жъогъошӏу	ʐʷ a ʁʷ a ʃʷ
жъогъуаплъэ	ʐʷ a ʁ aː p ɬ a
жъоныгъуакӏмаз	ʒʷ a n ə ʁʷ aː t͡ʃʼ m aː z
жъоркъ	ʐʷ a r q
жъот	ʐʷ a t
жъотын	ʐʷ a t ə n
жъун	ʐʷ ə n
жъыпӏэ	ʐ ə pʼ a
жъышъхьэмыгъу	ʐ ə ʂ ħ a m a ə ʁʷ
жъэжъэн	ʐ a ʐ a m
жъэн	ʐ a n
жьао	ʑ aː w a
жьаушӏ	ʑ aː w ʃʼ
жьыкорен	ʑ ə kʷ a r a j n
жьыуз	ʑ ə w z
жьыф	ʑ ə f
жьышъхьал	ʑ ə ʂ ħ aː l
жьыӏэшӏу	ʑ ə ʔ a ʃʷʼ
жьэн	ʑ a n
жэдэкон	ʒ a d a kʷ a n
жэкӏэпэпкъ	ʒ a t ʃʼ a p a p q
жэмай	ʒ a m aː j
жэмыӏан	ʒ a m ə ʔ aː n
жэпкъ	ʒ a p q
жэрыплъагъ	ʒ a r ə p ɬ aː ʁ
жэукъ	ʒ a w q
жэхъуагъ	ʒ a χʷ aː ʁ
жэӏулэлыгъ	ʒ a ʔʷ ə l a l ə ʁ
закъу	z aː qʷ
занкӏэ	z aː n t͡ʃ a
заулэ	z aː w l a
зиӏ	z ə j ʔ
зы	z ə
зыб	z ə b
зыгъэухьазырын	ħ aː z ə r ə n
зыпэгъотхьажьын	z ə p a ʁʷ a t ħ a ʑ ə n
зыпэшӏыжьын	z ə p a ʃʼ ə ʑ ə n
зыци	z ə t͡s ə j
зыщыдзыен	z ə ɕ ə d͡z ə j a n
зэблэдзын	z a b ɮ a d͡z ə n
зэгогъэкӏын	z a ɡʷ a ʁ a t͡ʃʼ ə n
зэгожъын	z a ɡʷ a ʐ ə n
зэгоутын	z a ɡʷ a w t ə n
зэгъэн	z a ʁ a n
зэгъэпэшын	z a ʔ a p a ʃ ə n
зэгъэфагъ	z a ʁ a f aː ʁ
зэгъэфэгъэн	z a ʁ a f a ʁ a n
зэгъэфэн	z a ʁ a f a n
зэдзэкӏакӏо	z a d͡z a t͡ʃʼ aː kʷʼ a
зэдзэкӏын	z a d͡z a t͡ʃ ə n
зэкъодзэн	z a qʷ a d͡z a n
зэкъошныгъ	z a qʷ a ʃ n ə ʁ
зэкӏэкӏон	z a t͡ʃʼ a kʷʼ a n
зэон	z a w a n
зэплъэкӏыгъу	z a p ɬ a t͡ʃʼ ə ʁʷ
зэпыкӏьын	z a p ə kʲʼ ə n
зэпыутын	z a p ə w t ə n
зэпэчӏэкӏын	z a p a t͡ʂʼ a t͡ʃʼ ə n
зэтэухьэлэн	z a t a w ħ a l a n
зэхэон	q a w a n
зэхэтэкъун	z a x a t a qʷ ə n
зэшӏожьын	z a ʃʷʼ ə ʑ ə n
зэшӏохын	z a ʃʷʼ a x ə n
зэӏукӏапӏэ	z a ʔʷ ə t͡ʃʼ aː pʼ a
зэӏэгъэхьан	z a ʔ a ʁ a ħ aː n
игъолъхьан	t a ʁʷ a ɬ ħ aː n
игъу	j ə ʁʷ a
игъэхъон	ə ʁ a χʷ a n
идзэн	j ə d͡z a n
иен	j a j ə n
изэу	j ə z a w
икъугъэ	j ə qʷ ə ʁ a
илъэдэн	j ə ɬ a d a n
ипхъыхьан	j ə p χ ə ħ aː n
исэн	j ə s a n
ичӏыпӏэкӏэ	j ə t͡ʂʼ ə pʼ a t͡ʃʼ a
коил	kʷ a j ə l
кокӏ	kʷ a t͡ʃʼ
корэныгу	kʷ a r a n ə ɡʷ
ку	kʷ ə
куахъо	kʷ aː χʷ a
кулъэшъу	kʷ ə ɬ a ʃʷ
куон	kʷ ə w a n
куп	kʷ ə p
купсэ	kʷ a p s a
куу	kʷ ə w ə
кущэрэхъ	kʷ ə ɕ a r a χ
къаз	q aː z
къазгъыр	q aː z ʁ ə r
къапщыкъ	q aː p ɕ ə q
къарэу	q aː r a w
къаум	q aː w ə m
къегъэӏыхын	q a j ʁ a tʼ ə x ə n
къелэлэхын	q a j ɬ a ɬ a x ə n
къефэхын	q a j f a x ə n
къехьыжьэн	q a j ħ ə ʑ a n
къехьэхын	q a j ħ a x ə n
къешӏэн	q a j ʃʼ a n
къилъын	q ə j ɬ ə n
къиныгъу	q ə j n ə ʁʷ
къитхъун	q j ə t χʷ ə n
къозын	qʷ a z ə n
къокӏыпӏэ	qʷ a t͡ʃʼ ə pʼ a
къолэнсэлэн	qʷ a l a n s a l a n
къопс	qʷ a p s
къохьапӏэ	qʷ a ħ aː pʼ
къошъофы	qʷ a ʂʷ a f ə
къошъочӏэгъаз	qʷ a ʂʷ a t͡ʃ a ʁ a z
къощыр	qʷ a ɕ ə r
къуае	qʷ aː j a
къуамэ	qʷ aː m a
къуапсӏэ	qʷ aː p sʼ a
къуапэ	qʷ aː p a
къудыин	qʷ ə d ə j ə n
къужъы	qʷ ə ʐ ə
къузмэзадэ	qʷ ə z m a z aː d a
къуэдэс	qʷ a d a s
къыгъэ	q ə ʁ a
къыдэмыхъун	q ə d a m ə χʷ ə n
къыкъокӏын	q ə qʷ a t͡ʃʼ ə n
къыпыун	q ə p ə w ə n
къыухьан	q ə w ə ħ aː n
къыхэущыкӏьын	q ə x a w ɕ ə kʲʼ ə n
къычӏэгъэкӏьын	q ə t͡ʃʼ a ʁ a kʲʼ ə n
къэбарыпцӏы	q a b aː r ə p t͡sʼ ə
къэбаскъэ	q a b aː s q a
къэбы	q a b ə
къэвкъаз	q a f q aː z
къэгъэкӏэхьын	q a ʁ a t͡ʃ a ħ ə n
къэгъэлъэгъоны	q a ʁ a ɬ a ʁʷ a n ə
къэгъэнэн	q a ʁ a n a n
къэгъэӏун	q a ʁ a ʔʷ ə n
къэкъун	q a qʷ ə n
къэкӏорэгъэ	q a kʷʼ a r a ʁ a
къэкӏорэтхьэмафэ	q a kʷʼ a r a t ħ a m aː f a
къэкӏухьан	q a kʷʼ ə ħ aː n
къэлапчъ	q a l aː p t͡ʃ
къэлыдын	q a ɮ ə d ə n
къэлэдэс	q a ɮ a d a s
къэрэу	q a r a w
къэсэхын	q a s a x ə n
къэхьуашъо	q a ħ w aː ʂʷ a
къэхьыпэ	q a ħ ə p a
къэхьыуашъо	q a ħ w aː ʂʷ a
къэцыгъуан	q a t͡s ə ʁʷ aː n
къэцӏын	t͡sʼ ə n
къэцӏэтхын	q a t͡sʼ a t x ə n
къэщэн	q a ɕ a n
кӏакӏо	t͡ʃ aː kʷʼ a
кӏодыгъошӏу	kʷʼ a d ə ʁʷ a ʃʷʼ
кӏотэн	kʷʼ a t a n
кӏышъоӏот	t͡ʃʼ ə ʃʷ a ʔʷ a t
